bus,stop
165,11111
174,11111
186,11111
48,11111
855,11111
93,11111
961,11111
961C,11111
153,11119
165,11119
174,11119
186,11119
48,11119
5N,11119
855,11119
93,11119
961,11119
961C,11119
105,11219
106,11219
123,11219
174,11219
7,11219
75,11219
77,11219
NR8,11219
105,11221
106,11221
123,11221
174,11221
7,11221
75,11221
77,11221
NR8,11221
105,11229
106,11229
123,11229
174,11229
7,11229
75,11229
77,11229
NR8,11229
106,11231
165,11231
48,11231
5N,11231
7,11231
75,11231
77,11231
NR8,11231
106,11239
165,11239
48,11239
7,11239
75,11239
77,11239
NR8,11239
95,11259
165,11261
5N,11261
61,11261
7,11261
75,11261
77,11261
95,11261
970,11261
165,11269
61,11269
7,11269
75,11269
77,11269
970,11269
165,11271
61,11271
7,11271
75,11271
77,11271
970,11271
165,11279
61,11279
7,11279
75,11279
77,11279
970,11279
165,11281
61,11281
7,11281
75,11281
165,11289
61,11289
7,11289
75,11289
77,11289
970,11289
156,11291
165,11291
61,11291
7,11291
75,11291
106,11419
48,11419
61,11419
970,11419
NR8,11419
151,12081
151e,12081
154,12081
184,12081
52,12081
61,12081
74,12081
74e,12081
75,12081
151,12089
151e,12089
154,12089
184,12089
52,12089
61,12089
74,12089
74e,12089
75,12089
151,12091
151e,12091
154,12091
184,12091
52,12091
61,12091
74,12091
74e,12091
75,12091
151,12099
151e,12099
154,12099
184,12099
52,12099
61,12099
74,12099
74e,12099
75,12099
151,12101
151e,12101
154,12101
184,12101
52,12101
61,12101
74,12101
74e,12101
75,12101
151,12109
151e,12109
154,12109
184,12109
52,12109
61,12109
74,12109
74e,12109
75,12109
92,12121
92,12129
92,12131
92,12139
92,12141
92,12149
185,12201
189,12201
185,12209
189,12209
105,13011
106,13011
123,13011
174,13011
174e,13011
7,13011
75,13011
77,13011
NR8,13011
105,13019
106,13019
123,13019
174,13019
174e,13019
7,13019
75,13019
77,13019
NR8,13019
105,13021
106,13021
123,13021
174,13021
7,13021
75,13021
77,13021
NR8,13021
105,13029
106,13029
123,13029
174,13029
7,13029
75,13029
77,13029
NR8,13029
111,13041
132,13041
111,13049
132,13049
139,13071
195,13071
32,13071
54,13071
NR6,13071
NR7,13071
139,13079
195,13079
32,13079
54,13079
NR6,13079
NR7,13079
139,13081
195,13081
32,13081
54,13081
NR6,13081
NR7,13081
139,13089
195,13089
32,13089
54,13089
NR6,13089
NR7,13089
139,13091
195,13091
32,13091
54,13091
NR1,13091
NR2,13091
NR3,13091
NR5,13091
NR6,13091
NR7,13091
NR8,13091
139,13099
195,13099
32,13099
54,13099
NR1,13099
NR2,13099
NR5,13099
NR6,13099
NR7,13099
NR8,13099
139,13101
195,13101
32,13101
54,13101
NR1,13101
NR2,13101
NR3,13101
NR5,13101
NR6,13101
NR7,13101
NR8,13101
139,13109
195,13109
1N,13109
2N,13109
32,13109
3N,13109
4N,13109
54,13109
5N,13109
6N,13109
NR1,13109
NR2,13109
NR3,13109
NR5,13109
NR6,13109
NR7,13109
NR8,13109
16,13119
175,13119
195,13119
5,13119
75,13119
970,13119
NR5,13119
16,13121
175,13121
195,13121
1N,13121
2N,13121
3N,13121
4N,13121
5,13121
5N,13121
6N,13121
75,13121
970,13121
NR5,13121
16,13139
175,13139
195,13139
5,13139
75,13139
970,13139
NR5,13139
14,13191
16,13191
175,13191
1N,13191
2N,13191
3N,13191
4N,13191
5,13191
54,13191
5N,13191
65,13191
6N,13191
NR5,13191
NR6,13191
NR7,13191
14,13199
16,13199
175,13199
5,13199
54,13199
65,13199
NR5,13199
NR6,13199
NR7,13199
111,13201
132,13201
111,13209
132,13209
1N,13211
2N,13211
3N,13211
4N,13211
5N,13211
6N,13211
143,14011
166,14011
409,14011
61,14011
65,14011
855,14011
143,14019
166,14019
61,14019
65,14019
855,14019
124,14021
65,14021
855,14021
124,14029
65,14029
855,14029
124,14041
131,14041
145,14041
176,14041
273,14041
408,14041
131,14049
145,14049
176,14049
124,14059
131,14059
145,14059
176,14059
273,14059
408,14059
10,14061
100,14061
131,14061
145,14061
